bd,id,Tipo,Subtipo,Fecha,Detonante,DetonanDes,Fuente,Subregion,Municipio,Pueblo,Sitio,Incertidumb,Norte,Este,Fallecidos,Economicas,Notas,LinkFoto
ant,3898.000,Landslide,,1986-10-22,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,Barrio Santo Domingo Savio,Mid,6.297,-75.546,1.000,"0",Se desconoce la causa no se especifica si el evento ocurrió en el barrio santo domingo savio nº1 o nº2 (en esta base de datos queda santo domingo savio nº1 por defecto,
ant,7656.000,Landslide,,2004-03-12,Rainfall,Lluvias,Periodico El Colombiano,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,,Mid,6.297,-75.546,0.000,"0",Periodico el colombiano 2004/04/26 - antioquia(DI6Author : MIT)(DI6Date : 2004/06/30),
ant,7682.000,Landslide,,2004-11-03,Rainfall,Lluvias,Unknown,Valle de Aburrá,Medellín,,Barrio Santo Domingo Savio,High,6.297,-75.546,0.000,"0",Periodico el colombiano 2004/11/06(DI6Author : MIT)(DI6Date : 2004/12),
ant,7724.000,Landslide,,2006-10-13,Rainfall,Lluvias - Movimiento de masa que afectó 3 viviendas,El Colombiano,Valle de Aburrá,Medellín,Santo Domingo Savio Nº1,,Mid,6.297,-75.546,0.000,"0",(di6author : julieta g)(di6date : oct 18/06),
ant,2755.000,Landslide,,1981-05-22,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Popular,Calle 110 con Cra. 46,Mid,6.300,-75.549,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2927.000,Landslide,,1982-05-25,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Andalucía,Calle 107 con Cra. 48 a,Mid,6.297,-75.553,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,7894.000,Landslide,,2015-04-08,Anthropic,Deslizamiento - Un deslizamiento de tierra que se produjo en la noche del mi,El Colombiano,Valle de Aburrá,Medellín,La Francia,"Calle 107 con Carrera 49B, en la Comuna 2 (Santa Cruz).",Mid,6.298,-75.554,0.000,"0","Un deslizamiento de tierra que se produjo en la noche del miércoles en una zona de alto riesgo en el barrio la francia de medellín, colapsó ocho viviendas y afectó 26 más. román puerta, subcomandante del cuerpo de bomberos del municipio, confirmó",
ant,2757.000,Landslide,,1981-05-22,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,Popular,Calle 109 con Cra. 47,Mid,6.299,-75.551,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,2603.000,Debris Flow,,1979-09-01,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,Andalucía,Barrio Andalucía,Mid,6.299,-75.552,0.000,"0",Se desconoce la causa,
ant,6488.000,Debris Flow,,1998-09-01,Rainfall,Lluvias,El Colombiano,Valle de Aburrá,Medellín,Andalucía,En Isaac Gaviria. Cra. 49 con Calle 107,Mid,6.299,-75.552,0.000,"0",Nota1: la información estraida para la realización de esta ficha fue tomada de el periódico el colombiano del 4 de septiembre de 1998.(di6date : 3/10/02),
ant,7648.000,Debris Flow,,2003-09-24,Rainfall,Lluvias,Periodico El Colombiano,Valle de Aburrá,Medellín,Andalucía,,Mid,6.299,-75.552,0.000,"3",Periodico el colombiano 2003/09/26 - antioquia(DI6Author : MIT)(DI6Date : 2004/04/12),
ant,3461.000,Landslide,,1984-05-15,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Frontera,Calle 118 con Cra. 48 a,Mid,6.303,-75.550,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3645.000,Landslide,,1985-09-26,Rainfall,Lluvias - Fuertes aguaceros continuos y alcantarillados obstruidos,El Colombiano,Valle de Aburrá,Medellín,Popular,Calle 116 Nº 43B - 52,Mid,6.302,-75.548,6.000,"0",Nota: los muertos pueden superar la cifra anteriormente dicha si se tiene en cuenta que dos de las personas muertas estaban en embarazo de 4 meses. además en el item de evacuados habla es de 12 familias. ya el municipio la había damnificado por otra y,
ant,3155.000,Landslide,,1983-09-25,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Isla,Calle 112 con Cra. 47,Mid,6.302,-75.550,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3156.000,Landslide,,1983-10-02,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Isla,Calle 112 con Cra. 48,Mid,6.302,-75.550,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,7689.000,Landslide,,2005-05-19,Rainfall,Lluvias - Lluvias instensa y deslizamiento,Periódico El Mundo,Valle de Aburrá,Medellín,Andalucía,La Francia,Mid,6.300,-75.555,1.000,"4",(di6author : j. vanegas)(di6date : marzo 1 2006),
ant,3157.000,Landslide,,1983-10-02,Unknown,Desconocida,Tesis de La Universidad Nacional *,Valle de Aburrá,Medellín,La Francia,,Mid,6.300,-75.555,0.000,"0","* tesis precipitación y su influencia sobre algunos deslizamientos ocurridos en las laderas del valle de aburrá; por: paz delgado maria cristina y torres velásquez adriana maría (1989)(DI6Author : RS)(DI6Date : 12/03/03)",
ant,3441.000,Landslide,,1984-08-04,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,La Francia,Barrio la Francia,Mid,6.300,-75.555,2.000,"0",Se desconoce la causa,
ant,3447.000,Landslide,,1984-10-15,Unknown,Desconocida,Ingeominas,Valle de Aburrá,Medellín,La Francia,Barrio la Francia,Mid,6.300,-75.555,0.000,"0",Se desconoce la causa,
ant,3418.000,Debris Flow,,1984-01-18,Unknown,Desconocida,Bomberso Medellín,Valle de Aburrá,Medellín,La Francia,,Mid,6.300,-75.555,0.000,"0",(di6author : rs)(di6date : 2003/01/14),
ant,7630.000,Debris Flow,,2002-12-16,Rainfall,Lluvias,Periodico El Colombiano,Valle de Aburrá,Medellín,La Francia,Barrio la Francia,Mid,6.300,-75.555,0.000,"0",El colombiano / 2002-12-19 / área metro(DI6Author : JDC)(DI6Date : 2003/07/11),
