Fecha,P
2010-01-28,0.0
2010-01-29,
2010-01-30,
2010-01-31,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-06,0.0
2010-02-07,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-13,
2010-02-14,
2010-02-15,
2010-02-16,1.0160000324249268
2010-02-17,0.2540000081062317
2010-02-18,1.0160000324249268
2010-02-19,
2010-02-20,
2010-02-21,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,3.555999994277954
2010-02-26,0.0
2010-02-27,
2010-02-28,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-06,
2010-03-07,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-13,
2010-03-14,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-20,
2010-03-21,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-27,
2010-03-28,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-02,
2010-04-03,
2010-04-04,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,0.0
2010-04-09,0.7620000243186951
2010-04-10,
2010-04-11,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-17,
2010-04-18,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-24,
2010-04-25,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-01,6.350000023841858
2010-05-02,
2010-05-03,3.0480000972747803
2010-05-04,0.7620000243186951
2010-05-05,6.350000023841858
2010-05-06,2.0320000648498535
2010-05-07,0.2540000081062317
2010-05-08,8.636000037193298
2010-05-09,4.318000137805939
2010-05-10,3.302000105381012
2010-05-11,10.160000324249268
2010-05-12,0.0
2010-05-13,0.2540000081062317
2010-05-14,5.588000178337097
2010-05-15,0.0
2010-05-16,0.5080000162124634
2010-05-17,0.0
2010-05-18,1.0160000324249268
2010-05-19,0.0
2010-05-20,0.0
2010-05-21,0.0
2010-05-22,0.0
2010-05-23,0.0
2010-05-24,0.0
2010-05-25,3.810000002384186
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-29,
2010-05-30,
2010-05-31,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-05,
2010-06-06,0.0
2010-06-07,0.0
2010-06-08,13.208000302314758
2010-06-09,1.0160000324249268
2010-06-10,7.620000243186951
2010-06-11,0.0
2010-06-12,19.558000147342682
2010-06-13,10.4140003323555
2010-06-14,2.540000081062317
2010-06-15,9.906000256538391
2010-06-16,21.336000621318817
2010-06-17,3.0480000972747803
2010-06-18,11.175999999046326
2010-06-19,10.922000348567963
2010-06-20,3.8100001215934753
2010-06-21,14.471000254154204
2010-06-22,4.826000154018402
2010-06-23,6.601000249385834
2010-06-24,11.683000326156616
2010-06-25,4.826000154018402
2010-06-26,8.128000259399414
2010-06-27,14.219000160694122
2010-06-28,0.0
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-03,
2010-07-04,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-10,
2010-07-11,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-17,
