Fecha,P
2018-08-18,1.7780000567436216
2018-08-19,2.540000081062317
2018-08-20,0.0
2018-08-21,0.0
2018-08-22,0.0
2018-08-23,0.5080000162124634
2018-08-24,2.540000081062317
2018-08-25,0.0
2018-08-26,2.286000072956085
2018-08-27,12.954000413417816
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.2540000081062317
2018-08-31,1.5240000486373901
2018-09-01,0.5080000162124634
2018-09-02,0.0
2018-09-03,3.8100000619888306
2018-09-04,20.066000640392303
2018-09-05,41.40200060606003
2018-09-06,6.858000218868256
2018-09-07,27.940000772476196
2018-09-08,3.8100001215934753
2018-09-09,0.0
2018-09-10,0.0
2018-09-11,0.0
2018-09-12,11.938000440597534
2018-09-13,5.588000178337097
2018-09-14,1.5240000486373901
2018-09-15,0.5080000162124634
2018-09-16,0.2540000081062317
2018-09-17,3.0480000376701355
2018-09-18,1.0160000324249268
2018-09-19,0.0
2018-09-20,2.286000072956085
2018-09-21,0.0
2018-09-22,0.0
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.0
2018-09-26,0.5080000162124634
2018-09-27,26.16200065612793
2018-09-28,4.064000129699707
2018-09-29,11.93800038099289
2018-09-30,3.302000105381012
2018-10-01,4.318000018596649
2018-10-02,8.636000335216522
2018-10-03,42.672001123428345
2018-10-04,23.11400043964386
2018-10-05,8.89000028371811
2018-10-06,21.844000458717346
2018-10-07,4.57200014591217
2018-10-08,2.540000081062317
2018-10-09,30.226000726222992
2018-10-10,13.208000421524048
2018-10-11,6.604000210762024
2018-10-12,0.7620000243186951
2018-10-13,5.588000118732452
2018-10-14,2.286000072956085
2018-10-15,0.2540000081062317
2018-10-16,10.922000348567963
2018-10-17,14.478000104427338
2018-10-18,26.67000025510788
2018-10-19,5.080000162124634
2018-10-20,19.304000318050385
2018-10-21,6.350000202655791
2018-10-22,2.28600013256073
2018-10-23,2.0320000648498535
2018-10-24,7.366000235080719
2018-10-25,0.5080000162124634
2018-10-26,0.2540000081062317
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,0.5080000162124634
2018-10-30,1.0160000324249268
2018-10-31,0.0
2018-11-01,
2018-11-02,20.32000023126602
2018-11-03,6.096000134944916
2018-11-04,6.0960001945495605
2018-11-05,9.906000316143036
2018-11-06,4.826000154018402
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-10,0.2540000081062317
2018-11-11,0.5080000162124634
2018-11-12,0.0
2018-11-13,1.2700000405311584
2018-11-14,25.908000648021698
2018-11-15,0.2540000081062317
2018-11-16,3.047999978065491
2018-11-17,6.858000040054321
2018-11-18,0.5080000162124634
2018-11-19,3.5560001134872437
2018-11-20,6.350000321865082
2018-11-21,6.3500001430511475
2018-11-22,1.2700000405311584
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,
2018-11-26,0.0
2018-11-27,1.52400004863739
2018-11-28,0.0
2018-11-29,17.01800012588501
2018-11-30,17.526000440120697
2018-12-01,3.0480000376701355
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,1.5240000486373901
2018-12-05,8.89000028371811
2018-12-06,
2018-12-07,
2018-12-08,
2018-12-09,
2018-12-10,
2018-12-11,
2018-12-12,
2018-12-13,
2018-12-14,
2018-12-15,
2018-12-16,
2018-12-17,
2018-12-18,
2018-12-19,
2018-12-20,
2018-12-21,
2018-12-22,
2018-12-23,
