Fecha,P
2010-01-14,0.5080000162124634
2010-01-15,2.540000081062317
2010-01-16,0.0
2010-01-17,0.0
2010-01-18,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-21,0.0
2010-01-22,0.0
2010-01-23,0.0
2010-01-24,0.0
2010-01-25,0.5080000162124634
2010-01-26,0.0
2010-01-27,0.0
2010-01-28,0.2540000081062317
2010-01-29,10.922000169754028
2010-01-30,0.0
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-06,0.7620000243186951
2010-02-07,0.0
2010-02-08,0.0
2010-02-09,12.44599997997284
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.0
2010-02-13,0.0
2010-02-14,0.7620000243186951
2010-02-15,0.0
2010-02-16,0.2540000081062317
2010-02-17,0.0
2010-02-18,0.2540000081062317
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,12.954000115394592
2010-02-23,5.080000162124634
2010-02-24,1.7780000567436218
2010-02-25,18.79600042104721
2010-02-26,0.0
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,4.825999975204468
2010-03-03,9.14400029182434
2010-03-04,0.0
2010-03-05,4.826000094413757
2010-03-06,5.588000059127808
2010-03-07,2.540000081062317
2010-03-08,1.2700000405311584
2010-03-09,3.5560001134872437
2010-03-10,0.7620000243186951
2010-03-11,2.0320000648498535
2010-03-12,0.0
2010-03-13,8.128000140190125
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-20,
2010-03-21,
2010-03-22,
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,2.0320000648498535
2010-03-27,0.0
2010-03-28,0.0
2010-03-29,
2010-03-30,
2010-03-31,3.302000105381012
2010-04-01,4.318000137805939
2010-04-02,1.5240000486373901
2010-04-03,
2010-04-04,
2010-04-05,12.700000405311584
2010-04-06,12.700000405311584
2010-04-07,8.381999909877777
2010-04-08,0.0
2010-04-09,22.860000133514404
2010-04-10,0.5080000162124634
2010-04-11,7.112000048160553
2010-04-12,0.0
2010-04-13,0.0
2010-04-14,0.5080000162124634
2010-04-15,0.0
2010-04-16,1.5240000486373901
2010-04-17,0.0
2010-04-18,0.0
2010-04-19,0.0
2010-04-20,17.272000074386597
2010-04-21,1.2700000405311584
2010-04-22,0.0
2010-04-23,0.0
2010-04-24,0.0
2010-04-25,
2010-04-26,31.750000178813934
2010-04-27,6.350000202655792
2010-04-28,7.620000243186951
2010-04-29,5.080000162124634
2010-04-30,0.0
