Fecha,P
2010-01-30,0.2540000081062317
2010-01-31,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,0.0
2010-02-06,0.0
2010-02-07,
2010-02-08,0.0
2010-02-09,0.0
2010-02-10,0.0
2010-02-11,0.2540000081062317
2010-02-12,0.2540000081062317
2010-02-13,0.0
2010-02-14,0.0
2010-02-15,0.0
2010-02-16,0.0
2010-02-17,0.0
2010-02-18,0.0
2010-02-19,0.0
2010-02-20,0.0
2010-02-21,0.0
2010-02-22,0.0
2010-02-23,3.04800009727478
2010-02-24,2.794000029563904
2010-02-25,6.0960001945495605
2010-02-26,6.096000134944916
2010-02-27,0.0
2010-02-28,0.0
2010-03-01,0.0
2010-03-02,0.0
2010-03-03,10.922000348567963
2010-03-04,0.2540000081062317
2010-03-05,1.2700000405311584
2010-03-06,0.0
2010-03-07,0.0
2010-03-08,0.0
2010-03-09,0.0
2010-03-10,0.0
2010-03-11,3.5560001134872437
2010-03-12,0.0
2010-03-13,0.0
2010-03-14,0.0
2010-03-15,0.0
2010-03-16,0.0
2010-03-17,2.0320000648498535
2010-03-18,0.0
2010-03-19,0.0
2010-03-20,0.0
2010-03-21,4.063999950885773
2010-03-22,0.0
2010-03-23,0.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,1.7780000567436218
2010-03-27,1.2700000405311584
2010-03-28,0.0
2010-03-29,0.0
2010-03-30,13.716000437736511
2010-03-31,2.794000029563904
2010-04-01,
2010-04-02,
2010-04-03,
2010-04-04,
2010-04-05,2.7940000891685486
2010-04-06,1.0160000324249268
2010-04-07,13.208000183105469
2010-04-08,0.2540000081062317
2010-04-09,5.3340001702308655
2010-04-10,6.096000075340271
2010-04-11,0.7620000243186951
2010-04-12,0.0
2010-04-13,18.288000524044037
2010-04-14,0.5080000162124634
2010-04-15,0.0
2010-04-16,0.0
2010-04-17,0.0
2010-04-18,
2010-04-19,0.0
2010-04-20,0.0
2010-04-21,0.0
2010-04-22,0.0
2010-04-23,0.0
2010-04-24,3.556000053882599
2010-04-25,
2010-04-26,1.2700000405311584
2010-04-27,2.7940000891685486
2010-04-28,
2010-04-29,1.2700000405311584
2010-04-30,0.0
2010-05-01,1.2700000405311584
2010-05-02,0.2540000081062317
2010-05-03,3.04800009727478
2010-05-04,11.176000356674194
2010-05-05,5.588000178337097
2010-05-06,14.732000291347504
2010-05-07,1.2700000405311584
2010-05-08,7.366000235080719
2010-05-09,7.620000123977661
2010-05-10,3.5560001134872437
2010-05-11,16.764000177383423
2010-05-12,0.2540000081062317
2010-05-13,0.0
2010-05-14,2.2860000729560848
2010-05-15,0.0
2010-05-16,0.0
2010-05-17,0.0
2010-05-18,1.7780000567436216
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-22,
2010-05-23,
2010-05-24,
2010-05-25,
2010-05-26,7.112000226974487
2010-05-27,6.0960001945495605
2010-05-28,0.2540000081062317
2010-05-29,
2010-05-30,0.0
2010-05-31,20.574000477790833
2010-06-01,9.398000240325928
2010-06-02,41.91000086069107
2010-06-03,7.620000243186951
2010-06-04,0.0
2010-06-05,0.0
2010-06-06,0.0
2010-06-07,0.0
2010-06-08,4.57200014591217
2010-06-09,20.828000366687775
2010-06-10,6.096000075340271
2010-06-11,
2010-06-12,
2010-06-13,
2010-06-14,
2010-06-15,
2010-06-16,24.892000794410706
2010-06-17,3.0480000376701355
2010-06-18,2.2860000729560848
2010-06-19,
2010-06-20,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-26,
2010-06-27,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-03,
2010-07-04,4.826000154018402
2010-07-05,4.826000154018402
2010-07-06,5.078000128269196
2010-07-07,0.0
2010-07-08,0.7620000243186951
2010-07-09,0.0
2010-07-10,9.904000222682953
2010-07-11,10.922000348567963
2010-07-12,2.7920000553131112
2010-07-13,0.0
2010-07-14,18.79300045967102
2010-07-15,10.160000324249268
2010-07-16,20.066000640392303
2010-07-17,3.302000105381012
2010-07-18,2.286000072956085
2010-07-19,0.5080000162124634
2010-07-20,32.50200057029724
2010-07-21,13.96800035238266
2010-07-22,0.2540000081062317
2010-07-23,1.0160000324249268
2010-07-24,13.459000408649445
2010-07-25,0.0
2010-07-26,12.19100034236908
2010-07-27,2.0320000648498535
2010-07-28,4.57200014591217
2010-07-29,5.586000084877014
2010-07-30,5.080000162124633
2010-07-31,1.0160000324249268
2010-08-01,9.649000227451324
2010-08-02,4.0630000829696655
2010-08-03,14.730000376701355
2010-08-04,14.475000202655792
2010-08-05,0.0
2010-08-06,1.5240000486373901
2010-08-07,0.5080000162124634
2010-08-08,2.7940000891685486
2010-08-09,2.7940000891685486
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,3.047000050544739
2010-08-13,5.842000186443329
2010-08-14,0.0
2010-08-15,9.903000235557556
2010-08-16,16.253000020980835
2010-08-17,0.2540000081062317
2010-08-18,6.095000147819519
2010-08-19,5.079000174999237
2010-08-20,5.080000162124634
2010-08-21,0.0
2010-08-22,0.5080000162124634
2010-08-23,0.0
2010-08-24,6.604000210762024
2010-08-25,8.89000028371811
2010-08-26,3.555000066757202
2010-08-27,15.743000268936157
2010-08-28,13.71500039100647
2010-08-29,11.42600017786026
2010-08-30,0.5080000162124634
2010-08-31,9.904000222682953
2010-09-01,1.7780000567436218
2010-09-02,8.89000028371811
2010-09-03,13.967000305652618
2010-09-04,2.286000072956085
2010-09-05,7.111000180244446
2010-09-06,16.505000412464142
2010-09-07,9.14400029182434
2010-09-08,9.14400029182434
2010-09-09,14.473000168800354
2010-09-10,0.0
2010-09-11,16.510000467300415
2010-09-12,5.332000017166138
2010-09-13,8.631999969482422
2010-09-14,
2010-09-15,0.0
2010-09-16,7.874000251293182
2010-09-17,7.364000201225281
2010-09-18,0.5080000162124634
2010-09-19,11.93500030040741
2010-09-20,4.318000137805939
2010-09-21,18.53700029850006
2010-09-22,9.652000308036804
2010-09-23,16.25300019979477
2010-09-24,8.888200249857618
2010-09-25,23.36200040578842
2010-09-26,16.507000505924225
2010-09-27,8.63621027561021
2010-09-28,2.540000081062317
2010-09-29,8.634200182146742
2010-09-30,1.5240000486373901
2010-10-01,17.519000113010406
2010-10-02,0.2540000081062317
2010-10-03,
2010-10-04,
2010-10-05,
2010-10-06,
2010-10-07,
2010-10-08,
2010-10-09,
2010-10-10,
2010-10-11,0.0
2010-10-12,
2010-10-13,0.0
2010-10-14,1.0160000324249268
2010-10-15,0.7620000243186951
2010-10-16,
2010-10-17,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-23,
2010-10-24,
2010-10-25,
2010-10-26,2.286000072956085
2010-10-27,
2010-10-28,
2010-10-29,
2010-10-30,0.2540000081062317
2010-10-31,0.0
2010-11-01,0.0
2010-11-02,5.839000105857849
2010-11-03,0.0
2010-11-04,
2010-11-05,0.0
2010-11-06,
2010-11-07,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,4.826000154018402
2010-11-12,18.536000311374664
2010-11-13,32.507000625133514
2010-11-14,6.350000202655792
2010-11-15,4.318000137805939
2010-11-16,34.27600008249283
2010-11-17,0.5080000162124634
2010-11-18,0.0
2010-11-19,7.3630000948905945
2010-11-20,1.2700000405311584
2010-11-21,0.2540000081062317
2010-11-22,1.5240000486373901
2010-11-23,0.5080000162124634
2010-11-24,1.2700000405311584
2010-11-25,0.2540000081062317
2010-11-26,0.0
2010-11-27,23.615000426769257
2010-11-28,1.5240000486373901
2010-11-29,7.3650001883506775
2010-11-30,0.0
2010-12-01,2.286000072956085
2010-12-02,5.080000162124634
2010-12-03,2.286000072956085
2010-12-04,11.680000185966492
2010-12-05,0.0
2010-12-06,0.0
2010-12-07,6.095000147819519
2010-12-08,5.842000186443329
2010-12-09,6.857000172138214
2010-12-10,2.0320000648498535
2010-12-11,0.0
2010-12-12,0.0
2010-12-13,29.450000286102295
2010-12-14,10.157000184059143
2010-12-15,1.5240000486373901
2010-12-16,0.0
2010-12-17,0.2540000081062317
2010-12-18,0.0
2010-12-19,0.2540000081062317
2010-12-20,0.0
2010-12-21,0.0
2010-12-22,0.0
2010-12-23,0.7620000243186951
2010-12-24,4.318000137805939
2010-12-25,0.7620000243186951
